id,installer_name,profile_pic,address,pincode,City,state,longitude,lattitude,Application Code,Rating Agency,Rating,Category,contact,contact1,mobile,email,fax_no,website,about_installer
118,Bergen Associates,default-img.png,"690-691, Phase V, Udyogvihar",122016,Gurgaon,Haryana,77.08,28.5,,,,,0124-4986400/4002342-43,,,info@bergengroupindia.com,,www.baplindia.com,
119,Continental Solar,default-img.png,"Unit 12A, 2nd Floor, MGF Mega City, MG Road",122002,Gurgaon,Haryana,77.08,28.47,,,,,0124-4031610,,,customercare@continentalsolar.com,,www.continentalsolar.com,
120,Continental Solar Ltd.,default-img.png,"Unit 12A, 2nd Floor, MGF Mega City, MG Road",122002,Gurgaon,Haryana,77.08,28.47,,,,,9910021884,,,Navjot.singh@continentalsolar.com,,continentalsolar.com,
121,DD Solar Twenty Three India Pvt. Ltd.,default-img.png,"690-691, Phase V, Udyog Vihar",122016,Gurgaon,Haryana,77.08,28.5,,,,,0124-4002342-43,Fax: 0124-4002344,,vijay.singh@bergengroupindia.com,,bergengroupindia.com,
122,Dnova Infra,default-img.png,"637, Sector-31",122001,Gurgaon,Haryana,77.05,28.45,,,,,"0124-2580638,37",,,info@dnovainfra.com,,www.dnovainfra.com,
123,Dynamic Powers,default-img.png,"Killa No. 83/20, Behind plot no. 132, HSIIDC, Kundli, Sonipat - 131028",131028,Sonipat,Haryana,77.12,28.87,,,,,0130-3263862,Fax: 0130-2371041,,dynamicpowerbattary@yahoo.com,,,
124,Energo,default-img.png,"249-C, Udyog Vihar, Phase IV",122016,Gurgaon,Haryana,77.08,28.49,,,,,0124-4183200/300/400,,,energo@energoindia.com,,www.energoindia.com,
125,Exicom Tele-Systems Ltd.,default-img.png,"Plot No. 77A, Sector-18, IFFCO Road",122015,Gurgaon,Haryana,77.06,28.48,,,,,0124-6615200,Fax: 0124-6615204/205,,Praveen.dubey@exicom.in,,exicom.in,
126,Fortum India,default-img.png,"Level 7, Tower A, Building-5, DLF Complex",122002,Gurgaon,Haryana,77.08,28.48,,,,,0124-4418800,,,fortum.india@fortum.com,,www.fortum.com,
127,Godrej & Boyce Manufacturing,default-img.png,"C-001, Suncity Heights, G.C.Road",122012,Gurgaon,Haryana,77.07,28.51,863,CRISIL,1A ,A,9818700211,,,info@godrej.com,,www.godrejandboyce.com,
128,HBL Power Systems,default-img.png,"Plot No. -425, Sector-8, IMT Manesar",122050,Gurgaon,Haryana,76.88,28.37,,,,,0124-4240 168,,,contact@hbl.in,,www.hbl.in,
129,I G Solar Pvt. Ltd.,default-img.png,"B-Villa, Central Park-1, Sector-42, Golf Course Road, Gurgaon-122002",122002,Gurgaon,Haryana,77.04,28.54,,,,,0124-4275231,Fax: 011-66173950,,yogesh@indogermansolar.com,,indogermansolar.com,
130,IG Solar,default-img.png,"Dhorka, Sector-95, Pataudi Road",122505,Gurgaon,Haryana,77.01,28.44,,,,,0124-3251076/86,,,office@indogermansolar.com,,www.igsolar.in,
131,Lahmeyer International,default-img.png,"Intec house, 37, Institutional Area, Sector 44",122002,Gurgaon,Haryana,77.06,28.45,,,,,0124-4698586,,,info@lahmeyer.in,,www.liindia.com,
132,Lanco Solar Energy Pvt. Ltd.,default-img.png,"Plot No. 404-405, 2nd Floor, Udyog Vihar, Phase-3",122016,Gurgaon,Haryana,77.08,28.5,,,,,0124-6152700,Fax: 0124-4692500,,varun.agrawal@lancogroup.com,, www.lancogroup.com,
133,Pious energy,default-img.png,"B-9, Indraj Arcade, Sector 15",122001,Gurgaon,Haryana,77.03,28.45,,,,,8285010203,,,info@piousenergy.in,,www.piousenergy.in,
134,Predominant Engineers & Contractors,default-img.png,"501-501A, Global Foyer, G.C.Road, Sector-43",122002,Gurgaon,Haryana,77.09,28.46,,,,,0124-4767777,,,co@pecl.net,,www.pecl.net,
135,Punj Lloyd Delta Renewables,default-img.png,"95, Institutional Area, Sector 32",122001,Gurgaon,Haryana,77.03,28.44,,,,,0124-2620769,,,support@punjlloyddelta.com,,www.punjllyodgroup.com,
136,Rays Power Experts,default-img.png,"The executive Centre India Tower A, Building No. 5, 18th Floor, DLF Cyber City, DLF Phase III",,Gurgaon,Haryana,77.09,28.49,,,,,0124-6637940,,,info@raysexperts.com,,www.raysexperts.com,
137,ReNew Power,default-img.png,"Tower 4A, 6th Floor, DLF Corporate Park, M.G.Road",122002,Gurgaon,Haryana,77.1,28.48,,,,,0124-4896670/80,,,info@renewpower.in,,www.renewpower.in,
138,Rural Agri Ventures India,default-img.png,"122, 1st Floor, Vipul Agora, M.G Road",122002,Gurgaon,Haryana,77.03,28.46,,,,,0124-6565311,,,saikat@ruralagriventures.com,,www.ruralagriventures.com,
139,Saurya EnerTech,default-img.png,"864, UdyogVihar, Phase V",122016,Gurgaon,Haryana,77.08,28.5,,,,,0124-4001137,,,info@sauryaenertech.com,,www.sauryaenertech.com,
140,Schneider Electric India Pvt. Ltd.,default-img.png,"9th Floor, DLF Building no. 10, Tower C, DLF Cyber City, Phase II, Gurgaon-122002",122002,Gurgaon,Haryana,77.08,28.49,,,,,0124-3940400,Fax: 0124-4222036,,tapan.kapoor@schneider-electric.com; customercare.in@schneiderelectricelectric.co.in,,schneider-electric.com,
141,Sukam Power Systems Ltd.,default-img.png,"Plot No. 54, Udyog Vihar, Phase- VI, Sector-37, Gurgaon- 122 001",122001,Gurgaon,Haryana,76.99,28.43,,,,,0124-4170500,Fax: 0124-4038700,,ashish.sethi@su-kam.com; info@su-kam.com,,www.su-kam.com,
142,SunBorne Energy technologies,default-img.png,"403, Tower A, Unitech Cyber Park, Sector-39",122001,Gurgaon,Haryana,77.05,28.44,,,,,0124-4750600,,,info@sunborneenergy.com,,www.sunbornenergy.com,
143,UM Green Lighting Pvt. Ltd.,default-img.png,"UM House, Plot no. 35  P, Sector  44",122002,Gurgaon,Haryana,77.06,28.45,,,,,0124 4326 555,Fax: 91 124 4326 500,,,,,
144,Zamil Infra,default-img.png,"002 & 003, Ground Floor, BPTP Park Centra, Sector-30, NH-8 Gurgaon 122001, Haryana",122001,Gurgaon,Haryana,77.05,28.46,,,,,0124-4770900,,,info@zamilinfra.com,,www.zailinfra.com,
145,Abhishek Solar Industries Pvt. Ltd.,default-img.png,"Lower Vidyapati Nagar, Opp. Dreamz Apartment, Kanke Road",834008,Ranchi,Jharkhand,85.3,23.38,,,,,0651-6450685,,,abhisheksolarenergy@yahoo.co.in,,,
146,S.G Enterprises,default-img.png,"Shradhanand Road, Mahabir Chowk",834001,Ranchi,Jharkhand,85.31,23.37,,,,, 0651-2208751,,,admin@shyamglobal.com,,www.shyamglobal.com,
147,AEG Power Solutions India Pvt. Ltd.,default-img.png,"#85, Kaniminiki Village, Kengeri Hobli, Bangalore South Taluk",560060,Bangalore,Karnataka,77.42,12.86,,,,,080-67466000,Fax: 080-76466100,, rajkumar.gs@aegos.com,,,
148,Alpha Power Solution,default-img.png,"3613, 5th Main, 3rd Cross, B-Block, Gayathrinagar",560021,Bangalore,Karnataka,77.55,12.99,,,,,074111-12244,,,alphapowersolutions@gmail.com,,www.alphapowersolutions.c,
149,Array Tech Technologies,default-img.png,"No. 104, Level 2, Prestige Omega, Epip Zone, Whitefield",560066,Bangalore,Karnataka,77.72,12.97,,,,,080-2572296,,,info@arraytechindia.com,,www.arraytechindia.com,
150,Bosch Limited,default-img.png,"PO Box No. 3000, Hosur Road, Adugodi,",560030,Bangalore,Karnataka,77.58,12.95,,,,,91 80 2299 2366,91 9741496854,,venugopalan.cm@in.bosch.com,,,
151,Bosch Solar Energy,default-img.png,"P.B No. 3000, Hosur Road",560030,Bangalore,Karnataka,77.6,12.94,,,,,080-67521111,,,claim.pv@in.bosch.com,,www.bosch-solarenergy.com,
152,BPL Techno Vision Pvt. Ltd,default-img.png,"11th KM Bannerghatta Road, Arakere",560076,Bangalore,Karnataka,77.55,12.91,,,,,080-26581297,Fax: 080-41220721,,,,,
153,Conergy Energy Systems (India) Pvt. Ltd.,default-img.png,"660/1, 100ft. Road, Indiranagar ",560038,Bangalore,Karnataka,77.61,12.95,,,,,8861200817,Fax:080-41261932,,S.hHesche@conergy.com,,www.conergy.in,
154,Deepa Solar Systems Pvt. Ltd.,default-img.png,"#4, 80 ft Ring Road, Near BDA Complex, Nagarabhavi 2nd Stage",5600723,Bangalore,Karnataka,77.5,12.97,,,,,080-23188480/81,Fax: 080-23188483,,info@deepasolar.com,,deepasolar.com,
155,Emmvee Photovoltaics Power Pvt. Ltd.,default-img.png,"No. 13/1, International Airport Road, Bettahalasur Post",562157,Bangalore,Karnataka,77.62,13.15,38,CRISIL,1A,,080-43233511,Fax: 080-28467801/08,,,,,
156,Enerparc Energy,default-img.png,"Unit No. N905/906,9th Floor, North Block, Manipal Centre, No. 47, DickensonRoad",560042,Bangalore,Karnataka,77.61,12.97,,,,,080-49414941,,,contact@enerparc.in,,www.enerparc.de,
157,Enerzea Power Solution Pvt. Ltd.,default-img.png,"#1304, 2nd Floor, 3rd Stage, Yelahanka New Town",560064,Bangalore,Karnataka,77.57,13.09,,,,, 080-28562066,Fax: 080-42242948,,,,,
158,Insolare Energy,default-img.png,"5th Floor, ASK Towers, Kundanahalli",560066,Bangalore,Karnataka,77.71,12.96,,,,,040-45678899,,,insolare@insolare.com,,www.insolare.com,
159,Juwi India Renewable energies,default-img.png,"Samhitha Plaza, No. 248, 1st Floor, 80 Feet Road, Defence Colony, Indira Nagar",560038,Bangalore,Karnataka,77.64,12.97,,,,,080-49059000/01,,,r.bhat@juwi.in,,www.juwi.in,
160,"Kotak Urja Pvt. Ltd.,",default-img.png,"#378, 10th Cross, 4th Phase,Peenya Industrial Area",560058,Bangalore,Karnataka,77.51,13.01,,,,, 080-28363330 ,Fax: 080-28362347,,ajay.chugh@kotakurja.com,,91-9958811130,
161,Kripa Telecom,default-img.png,"No. 18, 1st Floor, Next to Maruti Timber Traders, Veerasandra",560100,Bangalore,Karnataka,77.67,12.84,,,,, 080-41734681,Fax: 080-41734681,,,,,
162,MaaPa Vivasvan Energy Pvt. Ltd.,default-img.png,"Flat 307, Janajeeva Castle, Canara Bank Layout, Kodigehalli",560097,Bangalore,Karnataka,77.57,13.06,,,,,080-23644700,,,maapa.vivasvan@gmail.com,,,
163,Microsun Solar Tech Pvt. Ltd.,default-img.png,"#74/2, B.Krishnappa Industrial Estate, 16th Cross, Srigandhanagar, Hegganahalli, Near Peenya 2nd Stage",,Bangalore,Karnataka,77.5,13,,,,,080-28367845/35,,,info@microsunsolar.com,,microsunsolar.com,
164,Millennium Synergy Pvt. Ltd,default-img.png,"No 16,3rd Main Road,Sankamma Garden, Basavangudi",560004,Bangalore,Karnataka,77.57,12.94,,,,,080-2654 3777,Fax : +91-80-2664 6944,,sudhatv@yahoo.com,,,
165,MRO-TEK Ltd.,default-img.png,"#29B, Electronic City, Hosur Road",560100,Bangalore,Karnataka,77.66,12.85,,,,,080-28520544,Fax; 080-28520986,,vijay.cr@mro-tek.com,,mro-tek.com,
166,Orb Energy Pvt. Ltd.,default-img.png,"No. 12, Srigandhada Kavalu, Sunkadakatte, Magadi Road",560091,Bangalore,Karnataka,77.49,12.97,,,,,080-23286142,Fax: 080-23286141,,damian.miller@orbenergy.com,,www.orbenergy.com,
167,PACE Power Systems (P) Ltd.,default-img.png,"V-12, KSIDC Industrial Area, Mysore Road, Kumbalagodu",560074,Bangalore,Karnataka,77.44,12.87,,,,, 080-28437792/28437794,Fax: 080-28437793,,solar@pacepowerindia.com,,pacepowerindia.com,
168,PAE Renewables Pvt. Ltd.,default-img.png,"# 35, 1ST Main, 3rd Cross, Muniswamapa Layout, Hosur Road, Bommanahalli",560068,Bangalore,Karnataka,77.57,12.9,337,ICRA,2C,A,91 80 25739504/25739463,, 98862 31949,rv.subbramanian@paerenewables.com; bangalore@peaarenewables.com,,paerenewables.com,
169,POM Systems & Services Pvt. Ltd.,default-img.png,"No.75, 6th Main, 3rd Phase, Peenya Industrial Area",560058,Bangalore,Karnataka,77.51,13.02,,,,, 080-23722583,,,pomsystems@yahoo.com,,,
170,Power One Micro Systems Private Ltd.,default-img.png,"GF-3/F 12, KSSIDC Building, 5th Cross, Industrial Estate, Peenaya 1st Stage",560058,Bangalore,Karnataka,77.55,12.93,,,,,080-28397832/28379844,Fax: 080-080-28377074,,ashoksingh@poweroneups.com,,www.poweroneups.com,
171,Prolight Systems,default-img.png,"#22, 6th Cross, 8th Main, Ganesha Block, Mahalaxmi Layout",560096,Bangalore,Karnataka,77.55,13.01,,,,,080-23197414,Fax: 080-23493757,,,,,
172,Promptec Renewable Energy Solutions Pvt. Ltd,default-img.png,"Shibra Farms, Nagasandra Main Road, Near 8th Mile Tumukur Road",560073,Bangalore,Karnataka,77.5,13.04,,CRISIL,3B ,,080-23378803,Fax: 080-42177762,,,,,
173,Quanta Power Solutions (I) Pvt. Ltd.,default-img.png,"257, GK Complex, Amarjyoti layout,Inner ring road, Domlur",560071,Bangalore,Karnataka,77.64,12.95,,,,,080-65692200/2206,,,appathy@quantaservices.com,,quantaservices.com,
174,SELCO Solar Lights Pvt. Ltd,default-img.png,"No 742, 15th Cross,6th Phase, J P Nagar",560078,Bangalore,Karnataka,77.59,12.91,,,,,080-266-545-09,,,selco@selco-india.com,,www.selco-india.com,
175,Silicon Technologies,default-img.png,"Survey No. 63/4, Site No. 5, P&T Layout, Mutthurayaswami, Layout, Srigandada Kavalu, Sunkadakatte, B",,,Karnataka,77.49,12.97,,,,,080-23487257,,,silicon@siliconindia.co.in,,,
176,Tata Power Solar,default-img.png,"78, Electronics City, Phase I, Hosur Road",560100,Bangalore,Karnataka,77.66,12.84,,,,,080-67772000/3000,,,info@tatapowersolar.com,,www.tatapowersolar.com,
177,Tata Power Solar Systems Ltd.,default-img.png,"78, Electronics City, Hosur Road",560100,Bangalore,Karnataka,77.64,12.84,,,,,9910118256,,,amitk@tatabp.com,,,
178,Thakral Services (India) Ltd.,default-img.png,"8th Floor, The Estate,#121, Dickenson Road",560042,Bangalore,Karnataka,77.61,12.97,,,,,080-25593891,Fax: 080-25595739,,nramach@thakral-india.co.in,,www.thakral-india.co.in,
179,United Telecoms Ltd.,default-img.png,"18A/19, Doddanekundi Industrial Area, Mahadevapura",560048,Bangalore,Karnataka,77.7,12.98,,,,,080-28524032,Fax: 080-28524073,,prakash@utlindia.com,,utlindia.com,
180,U-Solar Clean Energy Solutions Pvt. Ltd.,default-img.png,"1st Floor, 9th A Main, Behind J.B Nagar Police Station, New BDA Layout, HAL, 3rd Stage",560056,Bangalore,Karnataka,77.65,12.96,22,CRISIL,3B,B,080-65663540,,,kartika.rajaram@usolar.in,,usolar.in,
181,Vasundara Automation and Engineering Services,default-img.png,No. 3 Sy No. 89,560062,Bangalore,Karnataka,77.55,12.87,,,,,080-67726777,,,query@vasundara.com,Mr . Steffen Hesche,www.vasundara.com,
182,AICA Engineering (India),default-img.png,"Level 1, Rehaboth Building, Vadavathoor",686010,Kottayam,Kerala,76.56,9.59,,,,,0481-2570415;,,,info@aicaengineering.com,,www.aicaengineering.net,
183,AICA Engineering (India) Pvt. Ltd.,default-img.png,"No. 2/304, Kanjikuzy puthupally Road, Thuruthel Bridge",686004,Kottayam,Kerala,76.54,9.57,,,,, 1800 425 2033,,,info@aicaengineering.com,,aicaengineering.com,
184,Ammini Solar Pvt. Ltd.,default-img.png,"Plot No. 33-37, KINFRA Small Industries Park, ST. Xavier's College Post",695586,Thiruvananthapuram,Kerala,76.85,8.55,,,,,0471-2705588,Fax: 0471-2705599,, solar@ammini.com,,www.ammini.com/solar,
185,E2 Solar,default-img.png,"770, Z-28, Punnakattil Complex, Nr. Private Bus Stand, Angamaly Road, Klady P.O. ",683574,Kochi,Kerala,76.43,10.16,,,,,0484-3533332,,,info@e2solar.co.in,,www.e2solar.co.in,
186,Hykon India Pvt. Ltd.,default-img.png,"Hykon House, Ikkanda Warrier Road, Nr. Manorama Office",680001,Thrissur,Kerala,76.21,10.51,596,ICRA,2C,A,0487-2444183 ; 0487 2444163,Fax: 0487-2443878,,ho@hykonindia.com,,hykonindia.com,
187,IGA Tech Industrial Electronics (P) Ltd.,default-img.png,"XII/230, iga Tech Lane, Morarji Road, Vazhakkala, Kakkanad (W)",682030,Kochi,Kerala,76.32,10,608,CARE,3D,C,0484-6594449; 2428859,Fax: 0484-2428828,,igatech@vsnl.net,Manish Singhal,www.iga-tech.com,
188,Kavone Technology Pvt. Ltd.,default-img.png,"VE Arcade, Palarivattom Jn.",682025,Kochi,Kerala,76.3,10,,,,,0484-2348220,Fax: 0484-2348221,,info@kavone.com,,kavone.com,
189,Nature 2 Nature Ecosystem Pvt. Ltd.,default-img.png,"#273, 15th Cross, Girinagar",682020,Kochi,Kerala,76.29,9.95,ICRA,3B,,,0484 6561295,91-9961869999,,sunil@eco-system.in,,eco-system.in,
190,PTL Solar Energy Pvt. Ltd.,default-img.png,"2nd Floor, Saniya Building, Pump Junction, Aluva, Erankul",,,Kerala,76.35,10.1,,,,,0484-2632222,Fax: 0484-2632223,,krl@ptlsolar.com,,ptlsolar.com,
191,Reecco Energy India Pvt. Ltd.,default-img.png,"IV/B3, B4, Pala Road",685584,Thodupuzha,Kerala,76.57,9.81,,,,,04862-228849,Fax: 04862-228849,, baby@reecco.com,Contact Person: Mr. Ajay Chugh,reecco.com,
192,Shobitha Electronics(Manufacturers) Pvt. Ltd.,default-img.png,"Devi Priya, A-25, Pillaveedu Nagar, Kesavadasapuram, Pattam PO, ",695004,Thiruvananthapuram,Kerala,76.92,8.52,,,,,0471-2442698,,,info@shobithaindia.org,,shobithaindia.org,
193,Solarking INC,default-img.png,"30/172, Yogananda, Madom",682038,Poonithura,Kerala,75.81,9.97,,,,,0944-7267439,91-9846177720,,info@solarking.co.in,,solarking.co.in,
194,Team Sustain,default-img.png,"Plot No. 71, MRA, Kakkanad, Cochin-682030 ",682030,Kochi,Kerala,76.33,10.02,,,,,0484-3298807,Fax: 0484-2421176,,,,,
195,Whiteness,default-img.png,"Nr. Amritha Hotel, Thycaud, Trivendrum -695014",695014,Thiruvananthapuram,Kerala,76.95,8.48,,,,, 0471-2162788,,,whitenesssolar@gmail.com,,,
196,Shakti Pumps (India) Ltd.,default-img.png,"Plot No. 401,402 & 413, Sector-3, Industrial Area, Pithampur, Dhar",,,Madhya Pradesh,75.57,22.63,,,,,07292-410500,Fax: 07292-407044,,,,,
197,Ujaas Energy Ltd.,default-img.png,"Survey No. 211/1, Opp. Sector C & Metalman Industrial Area, Sanwer Road",452015,Indore,Madhya Pradesh,75.84,22.74,,,,,0731-2722388-89,0731-2721693,,,,,
198,Abener Engineering,default-img.png,"110, L.B.S. Marg, Vikhroli (West)",400083,Mumbai,Maharashtra,72.92,19.11,,,,,022-66889600,,,abener@abener.abengoa.com,,www.anener.com,
199,ACE Infrastructure,default-img.png,"113 MAMA Parmanad Marg, Aman Chambers, 6th Floor",400004,Mumbai,Maharashtra,72.81,18.95,,,,,"022-23627493,23684605",,,info@aceinfra.com,,www.aceinfra.com,
200,Aditya Green Energy,default-img.png,"Shop Mo. 21/22, Shahu Complex, Near Telephone Bhawan",413512,Lature,Maharashtra,76.57,18.39,,,,,02382-249801,,,info@adityagreenenergy.com,,www.adityagreenenergy.com,
201,Aditya Green Energy Pvt. Ltd.,default-img.png,"Shop No. 21/22, Shahu Complex, Near Telephone Bhawan, Latur-413512",413512,,Maharashtra,76.57,18.39,,,,,02382-249801,,,,,,
202,Adiurja Pvt. Ltd.,default-img.png,"254A, N-3, CIDCO",,Aurangabad,Maharashtra,75.36,19.87,,,,, 0240-2485896,,,mohan.raut@adiurja.com,,adiurja.com,
203,Ador Powertron Ltd.,default-img.png,"#51, D-II, Ramnagar Complex, MIDC, Chinchwad",411019,Pune,Maharashtra,73.84,18.64,,,,,020-27472532,Fax: 020-27475817,,pvgurnani@adorpower.com,,,
204,Aplab Limited,default-img.png,"Aplab House, A-5, Wagle Estate",400604,Thane,Maharashtra,72.94,19.2,,,,,022-67395555,022-25823137,,,,,
205,Arka Green Power Pvt. Ltd.,default-img.png,"A-614, Merchant Center, Sector-19B, APMC, Vashi",400705,Navi Mumbai,Maharashtra,80.17,13.09,,,,,1800 3000 99 22,,,,,www.arkagreenpower.com,
206,Autonic Energy Systems Pvt Ltd,default-img.png,"B-13, Pravasi Industrial Estate,Opp Aarey Road Goregaon (E) ",400063,Mumbai,Maharashtra,72.85,19.16,,,,,022-23611591,Fax: 022-66021070,,solar@autonic.in,, www.autonic.in,
207,Belectric Photovoltaic India,default-img.png,"310-311, ACME Plaza, Andherikurla Road, Andheri(East)",400059,Mumbai,Maharashtra,72.86,19.11,,,,,022-66975382,,,info@belectric-india.com,,www.belectric.com,
208,CCL Optoelectronics Pvt. Ltd.,default-img.png,"EL-38, MIDC, Electronics Zone, Mahpe",400710,Navi Mumbai,Maharashtra,73.01,19.11,,,,,022-39213283,Fax: 022-27685691,,,,,
209,CCS Optoelectronics,default-img.png,"EL 38, MIDC, Electronics Zone, Mahpe",400710,Navi Mumbai,Maharashtra,73.02,19.1,,,,,"022-27685691,65218496",,,info@cclopto.com,,www.cclopto.com,
210,Chemtrols Solar,default-img.png,"Amar Hill, Saki vihar Road, Powai, Mumbai 400072, Maharashtra",400072,Mumbai,Maharashtra,72.9,19.11,571,CARE,2B,A,022-67151200,Fax: 022-67151405,,chemtrols@chemtrols.com,,www.chemtrols.com,
211,Deity Fuel Energy Pvt. Ltd.,default-img.png,"Plot No. 47/48, Survey No. 343, Mahalunge, Chakan Industrial Area, Chakan Talegaon Road, Behind Hote",410501,Pune,Maharashtra,73.78,18.74,824,ICRA,3D,C,8600043155,,,info@deityfuel.com,,deityfuel.com,
212,Deshmukh Energy,default-img.png,"10,11,12, Ganesh Market, Nashik Road",422101,Nashik,Maharashtra,73.83,19.94,,,,,9225530444,,,info@deshmukhenergy.com,,www.deshmukhenergy.com,
213,Ecoprogetti,default-img.png,"C 8, Prime Showcase, Near Prime Plaza, BM Road, Elphinstone-West",400013,Mumbai,Maharashtra,72.83,19,,,,,022-24320061,,,minal.gala@ecoprogetti.com,,www.ecoprogetti.com,
214,Emerson Network Power (Pune) Pvt. Ltd.,default-img.png,"120/37, Ramtekadi Industrial Area",411013,Pune,Maharashtra,73.91,18.49,,,,,020-30469100,,,gautam.mishra@emerson.com,,emerson.com,
215,Enrich Energy,default-img.png,"201-A, 5 Koregoan Park Road",411001,Pune,Maharashtra,73.88,18.53,,,,,020-26050080/84,,,info@enrichenergy.com,,www.enrichenergy.com,
216,Euro Solar Power,default-img.png,"4, Court House, 1st Floor, Lokmanya Tilak Marg, Dhobi Talao",400002,Mumbai,Maharashtra,72.82,18.94,,,,,022-26523145,,,info@cpowerec.com,,www.eurosolarpower.in,
217,Flareum Technologies Pvt. Ltd.,default-img.png,"#701, Level 7, A/C Market, Tardeo",400034,Mumbai,Maharashtra,72.81,18.97,,,,,022-2353322,,,info@flareum.com,,,
218,Forbes Solar Pvt. Ltd.,default-img.png,"A34/35, H Block, MIDC, Estate",411018,Pimpri,Maharashtra,73.82,18.63,,,,,020-29851236,,,rrnair@forbesmarshall.com,,forbesmarshall.com,
219,Fronius India,default-img.png,"GAT No. 312, Nanekarwadi, Chakan, Taluka-Khed ",410501,Pune,Maharashtra,73.84,18.74,,,,,91-9820605297,,,sales.india@fronius.com,,www.fronius.com,
220,Gaurav Electronics,default-img.png,"Gala 4A, B-Wing, Plot No. K3, Anand Nagar, Ambernath Industrial Estate, MIDC, Ambernath (East)",,Thane,Maharashtra,73.18,19.2,,,,,0251-2605656,Fax: 0251-2605877,,,,,
221,GK Energy Marketers Pvt. Ltd.,default-img.png,"F.No. 350, B.No. 25, Ground Floor, Lokmanya Nagar, LBS Main Road, Near Dandekar Bridge Circle",,Pune,Maharashtra,73.84,18.5,,,,,020-24321115,,,info@energymarketers.in,,energymarketers.in,
222,Godrej & Boyce Mfg. Co. Ltd.,default-img.png,"TEC, Plant 1, Piroshanagar, Vikhroli",400079,Mumbai,Maharashtra,72.91,19.1,,,,,022-67961700,91-9920109490,,,,,
223,IBC Solar Projects Pvt. Ltd.,default-img.png,"Level 1, Trade Centre, Office No. 1027, Bandra Kurla Complex, Bandra (East)",,Mumbai,Maharashtra,72.87,19.06,,,,,022-61623227,,,Reingard.ling@ibc-solar.in,,ibc-solar.in,
224,Ikaros Solar India Pvt. Ltd.,default-img.png,"Unit No. 2, Electronics Co-op. Estate, Pune-Satara Road",411009,Pune,Maharashtra,73.85,18.5,,,,,020-24223737,Fax: 020-24221258,,,,,
225,Inovision Technologies,default-img.png,"Unit 4, B Wing, Baba Vihar, S.G. Barve Road, Kurla(East)",400024,Mumbai,Maharashtra,72.88,19.06,,,,,022-67733600,,,inovision.in@gmail.com,,www.inovision.co.in,
226,Inspira Martifier Solar  Ltd.,default-img.png,"21, Satyam, 318, Linking Road, Khar(West)",400052,Mumbai,Maharashtra,0,0,,,,,022-32505383; 022-67733600,Fax: 022-67733667,,contact@inspiramartifier.com,,www.inspiramartifersolar.,
227,Intelux Electronics,default-img.png,"Unit No. 2, Electronics Co-op., Estate, Pune-Satara Road",411009,Pune,Maharashtra,73.85,18.48,,,,,020-24223734,,,marketing@inteluxindia.com,,www.inteluxindia.com,
228,Intelux Electronics Pvt. Ltd.,default-img.png,"Unit No. 2, Electronics Co-op. Estate, Pune-Satara Road",411009,Pune,Maharashtra,73.85,18.5,,,,,020-24223734,Fax: 020-24221258,,bd@inteluxindia.com,,,
229,International Marketing Corporation,default-img.png,"#418, Swastik Chambers, Sion-Trombay Road, Chembur",400071,Mumbai,Maharashtra,72.89,19.05,,,,,022-66840000,,,amish@imc-india.com; sales@imc-india.com,,www.imc-india.com,
230,Jain Irrigation systems,default-img.png,"Jain Energy Park, Shiroli Road, PO Box NO 20 Jalgaon",425001,Jalgaon,Maharashtra,75.49,21.01,375,FITCH,1B,A,0257-2260033/44; 0257 225801,Fax: 0257-2261155,,info@jainirrigation.com; jisl@jains.com,,www.jains.com,
231,Juvas Solutions Pvt. Ltd.,default-img.png,"3-A, Melody Society, ICS Colony, Ganeshkhind",411007,Pune,Maharashtra,73.32,18.6,,,,,020-66769804 ,Fax: 020-25517390,7875555366,ashish.shrivastava@juvassolutions.com,,juvassolutions.com,
232,Kaihatsu Techno Centre,default-img.png,"Unit 36, B Wing, Ground Floor, Solaris Building I, BajipasalkarMarg, Saki Vihar, Andheri(East) ",400007,Mumbai,Maharashtra,72.88,19.11,,,,,022-28576348,,,sales@ktcpl.com,,www.ktcpl.com,
233,KEC International Ltd.,default-img.png,"RPG House, 463, Dr. Annie Besant Road, Worli",400030,Mumbai,Maharashtra,72.81,19,829,ICRA,3D,C,022-66670200,Fax: 022-66670260,,info@kecint.com; balav@kecrpg.com,,www.kecrgp.com,
234,Kirloskar Brothers Ltd.,default-img.png,"Yamuna Buiding, survey No. 98/3-7, Baner Road",411045,Pune,Maharashtra,73.76,18.56,,,,,020-27214444,,,kblin@kbl.co.in,,www.kbl.co.in,
235,Kirloskar Integrated Technologies,default-img.png,"13/A, Karve Road, Kothrud",411038,Pune,Maharashtra,73.81,18.49,,,,,020-25457940,,,gtc.kitl@kirsolkar.com,,www.kitlgreen.com,
236,Kirloskar Integrated Technologies Ltd.,default-img.png,"13/A, Karve Road, Kothrud",411038,Pune,Maharashtra,73.81,18.49,,,,,020-25457940,Fax: 020-25457939,,devendra.goyal@kirloskar.com,,kirloskar.com,
237,Konstelec Engineers,default-img.png,"6/25/308, Creative Industrial Estate, Sunder Nagar, Lane No. 2, Kalina, Santacruz(East)",,Mumbai,Maharashtra,72.86,19.07,,,,,022-26663827,,,kepl@konstelec.com,,www.konstelec.com,
